PRESIDENTIAL ELECTORS (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hillary Clinton,,,,,,Donald J. Trump,,,,,,Gary Johnson,,,,,,WRITE-IN,,,,,,Jill Stein,,,,,,Darrell L. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,IVO,Absentee,Provisional,Emergency,Military,Total Votes,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEPPO,1373,394,39,0,0,0,433,461,82,1,0,0,544,16,3,0,0,0,19,14,3,0,0,0,17,6,1,0,0,0,7,5,0,0,0,0,5,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPINWALL DIST 1,864,376,23,0,0,0,399,198,3,0,0,0,201,16,0,1,0,0,17,9,1,0,0,0,10,4,0,0,0,0,4,2,0,0,0,0,2,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPINWALL DIST 2,595,243,23,1,0,0,267,141,6,2,0,0,149,7,1,0,0,0,8,5,0,0,0,0,5,1,1,0,0,0,2,0,0,0,0,0,0,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPINWALL DIST 3,864,408,25,1,0,0,434,182,9,0,0,0,191,16,1,0,0,0,17,6,1,0,0,0,7,2,0,0,0,0,2,1,0,0,0,0,1,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALON WARD 1,1102,430,6,2,0,0,438,223,3,0,0,0,226,29,1,0,0,0,30,12,0,0,0,0,12,7,0,0,0,0,7,3,1,0,0,0,4,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALON WARD 2 DIST 1,707,295,6,0,0,0,301,166,2,1,0,0,169,23,0,0,0,0,23,4,0,0,0,0,4,7,0,0,0,0,7,4,1,0,0,0,5,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALON WARD 2 DIST 2,474,175,7,0,0,0,182,135,3,0,0,0,138,4,0,0,0,0,4,5,0,0,0,0,5,2,0,0,0,0,2,0,1,0,0,0,1,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALON WARD 3 DIST 1,330,132,5,0,0,0,137,92,3,0,0,0,95,8,0,0,0,0,8,7,0,0,0,0,7,1,0,0,0,0,1,2,0,0,0,0,2,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALON WARD 3 DIST 2,490,172,15,0,0,0,187,104,15,0,0,0,119,16,0,0,0,0,16,7,0,0,0,0,7,6,0,0,0,0,6,2,0,0,0,0,2,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVALON WARD 3 DIST 3,481,174,10,0,0,0,184,112,11,0,0,0,123,9,0,0,0,0,9,9,0,0,0,0,9,5,0,0,0,0,5,2,0,0,0,0,2,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 1,568,204,10,1,0,0,215,177,5,0,0,0,182,15,0,0,0,0,15,9,0,0,0,0,9,3,0,0,0,0,3,1,0,0,0,0,1,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 2,994,399,14,0,0,0,413,324,10,0,0,0,334,19,1,0,0,0,20,6,0,0,0,0,6,9,1,0,0,0,10,4,1,0,0,0,5,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 3,802,294,7,1,0,0,302,270,8,1,0,0,279,13,1,0,0,0,14,3,0,0,0,0,3,7,0,0,0,0,7,1,0,0,0,0,1,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 4,756,264,4,0,0,0,268,289,4,0,0,0,293,14,0,0,0,0,14,2,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 5,782,280,15,2,0,0,297,253,5,0,0,0,258,10,0,0,0,0,10,3,2,0,0,0,5,7,0,0,0,0,7,1,0,0,0,0,1,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 6,749,257,6,0,0,0,263,272,12,0,0,0,284,13,0,0,0,0,13,4,0,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,2,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 7,803,262,13,0,0,0,275,285,3,1,0,0,289,14,0,0,0,0,14,6,1,0,0,0,7,1,0,0,0,0,1,4,0,0,0,0,4,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 8,705,268,6,0,0,0,274,243,19,0,0,0,262,12,0,0,0,0,12,6,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 9,750,269,23,0,0,0,292,249,7,0,0,0,256,15,0,0,0,0,15,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALDWIN BR DIST 10,1012,357,23,1,0,0,381,181,17,1,0,0,199,14,1,0,0,0,15,6,0,0,0,0,6,10,0,0,0,0,10,0,0,0,0,0,0,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
